iter	RMSE
0	13.54715043
1	12.29544059
2	11.228095
3	10.32075788
4	9.55556713
5	8.996018854
6	8.429261407
7	7.97921436
8	7.564063913
9	7.182760229
10	6.859515478
11	6.581323342
12	6.387342017
13	6.215171778
14	6.055443862
15	5.942241518
16	5.818263462
17	5.717982983
18	5.629245714
19	5.564816393
20	5.500330858
21	5.439622571
22	5.388136598
23	5.339751206
24	5.293749097
25	5.26432668
26	5.233393983
27	5.212040459
28	5.188202027
29	5.162648366
30	5.132594777
31	5.115062794
32	5.091165684
33	5.066549227
34	5.053693717
35	5.039050241
36	5.020857478
37	5.005186741
38	4.987997565
39	4.975628798
40	4.963097373
41	4.94706829
42	4.93142598
43	4.921742201
44	4.907754188
45	4.89902035
46	4.889063092
47	4.85721154
48	4.841414968
49	4.827544942
50	4.797057043
51	4.787473231
52	4.774107595
53	4.756477348
54	4.749804815
55	4.746865685
56	4.742132467
57	4.722576082
58	4.704129787
59	4.683039724
60	4.671702321
61	4.668078767
62	4.665618198
63	4.648751329
64	4.638138691
65	4.630919603
66	4.619588197
67	4.610779779
68	4.59303647
69	4.58426461
70	4.569775239
71	4.562130652
72	4.551995785
73	4.536683446
74	4.516402932
75	4.515080173
76	4.48458906
77	4.460552017
78	4.453053285
79	4.439588688
80	4.420817792
81	4.396133615
82	4.386442883
83	4.383945738
84	4.365049761
85	4.353409454
86	4.346100698
87	4.344987364
88	4.335254797
89	4.333684534
90	4.325792474
91	4.309434075
92	4.290434068
93	4.280101075
94	4.260250487
95	4.254511914
96	4.246522449
97	4.232787798
98	4.228111571
99	4.225977501
100	4.211066887
101	4.202738357
102	4.185775981
103	4.183326121
104	4.165092691
105	4.159664734
106	4.14732017
107	4.145148589
108	4.133071231
109	4.123753959
110	4.115714699
111	4.101557595
112	4.08810052
113	4.079653995
114	4.075054554
115	4.063133091
116	4.062231646
117	4.056225332
118	4.050116522
119	4.033124355
120	4.032349523
121	4.02131707
122	4.013963742
123	4.006574222
124	3.984927601
125	3.974227416
126	3.964101934
127	3.953549569
128	3.933783307
129	3.931026276
130	3.917252127
131	3.911738488
132	3.897470307
133	3.893717288
134	3.883166279
135	3.87890105
136	3.868616395
137	3.864141057
138	3.861069979
139	3.860817796
140	3.850922573
141	3.844706925
142	3.827920109
143	3.82752496
144	3.819069819
145	3.806806357
146	3.794429671
147	3.774005054
148	3.77354854
149	3.771060298
150	3.765275565
151	3.762456365
152	3.756864326
153	3.749723722
154	3.73490598
155	3.728176752
156	3.718201784
157	3.716279855
158	3.705981543
159	3.703280709
160	3.687908935
161	3.682531181
162	3.670894793
163	3.659761494
164	3.656438497
165	3.643193277
166	3.638120562
167	3.630415406
168	3.621323312
169	3.613962782
170	3.610184987
171	3.60591714
172	3.594623037
173	3.585358475
174	3.584936756
175	3.569593898
176	3.562100484
177	3.557654346
178	3.545226484
179	3.536165367
180	3.530854816
181	3.524496697
182	3.515989407
183	3.510372404
184	3.499735786
185	3.496964078
186	3.489249241
187	3.488271512
188	3.48660063
189	3.482418424
190	3.477284997
191	3.464758581
192	3.464452762
193	3.454697093
194	3.446256488
195	3.43239005
196	3.430940198
197	3.425563117
198	3.417187171
199	3.416422391
