iter	Passed	Remaining
0	0	89
1	0	82
2	1	79
3	1	77
4	1	76
5	2	73
6	2	72
7	2	71
8	3	70
9	3	69
10	3	68
11	4	67
12	4	67
13	5	66
14	5	66
15	5	65
16	6	64
17	6	64
18	6	63
19	7	63
20	7	63
21	7	63
22	8	64
23	8	64
24	9	63
25	9	63
26	9	62
27	10	62
28	10	61
29	10	61
30	11	60
31	11	60
32	11	60
33	12	59
34	12	59
35	12	58
36	13	58
37	13	58
38	13	57
39	14	57
40	14	56
41	15	56
42	15	56
43	15	55
44	16	55
45	16	55
46	16	54
47	17	54
48	17	53
49	17	53
50	18	52
51	18	52
52	18	52
53	19	51
54	19	51
55	19	50
56	20	50
57	20	50
58	20	49
59	21	49
60	21	49
61	21	48
62	22	48
63	22	47
64	22	47
65	23	47
66	23	46
67	23	46
68	24	45
69	24	45
70	24	45
71	25	44
72	25	44
73	25	44
74	26	43
75	26	43
76	26	43
77	27	42
78	27	42
79	28	42
80	28	41
81	28	41
82	29	40
83	29	40
84	29	40
85	30	39
86	30	39
87	30	39
88	31	38
89	31	38
90	31	38
91	32	37
92	32	37
93	32	36
94	33	36
95	33	36
96	33	35
97	34	35
98	34	35
99	34	34
100	35	34
101	35	34
102	35	33
103	36	33
104	36	33
105	36	32
106	37	32
107	37	31
108	37	31
109	38	31
110	38	30
111	38	30
112	39	30
113	39	29
114	40	29
115	40	29
116	40	28
117	41	28
118	41	28
119	41	27
120	42	27
121	42	27
122	42	26
123	43	26
124	43	26
125	43	25
126	44	25
127	44	25
128	44	24
129	45	24
130	45	23
131	45	23
132	46	23
133	46	22
134	46	22
135	47	22
136	47	21
137	47	21
138	48	21
139	48	20
140	48	20
141	49	20
142	49	19
143	49	19
144	50	19
145	50	18
146	51	18
147	51	18
148	51	17
149	52	17
150	52	17
151	52	16
152	53	16
153	53	15
154	53	15
155	54	15
156	54	14
157	54	14
158	55	14
159	55	13
160	55	13
161	56	13
162	56	12
163	56	12
164	57	12
165	57	11
166	57	11
167	58	11
168	58	10
169	58	10
170	59	10
171	59	9
172	59	9
173	60	9
174	60	8
175	60	8
176	61	7
177	61	7
178	61	7
179	62	6
180	62	6
181	62	6
182	63	5
183	63	5
184	64	5
185	64	4
186	64	4
187	65	4
188	65	3
189	65	3
190	66	3
191	66	2
192	66	2
193	67	2
194	67	1
195	67	1
196	68	1
197	68	0
198	68	0
199	69	0
